CO_NCM,NO_NCM_POR,NO_NCM_ING,NO_NCM_ESP,NO_NCM_FRA
01022911,"Outros bovinos para reprodução, prenhe ou com cria ao pé","Other bovine animals for breeding,pregnant or lactating","Otros bovinos para procreación, embarazado","Autres bovins destinés à la reproduction, les femmes enceintes ou avec oisillon"
01022919,Outros bovinos para reprodução,Other bovine animals for breeding,Otros bovinos para procreación,Autres bovins d'élevage
01022990,Outros bovinos vivos,Other live catlle,Otros bovinos vivos,Autres bovins vivants
01023110,"Búfalos reprodutores de raça pura, prenhe ou com cria ao pé","Pure-bred breeding buffalo, pregnant or lactating","Búfalos para procreación, pura raza, embarazado","Buffles reproducteurs de race pure, enceinte ou avec oisillon"
01023190,Outros búfalos reprodutores de raça pura,Other pure-bred breeding buffalo,"Otros búfalos para procreación, de pura raza",Autres buffles reproducteurs de race pure
01023911,"Outros búfalos para reprodução, exceto raça pura, prenhe ou com cria ao pé","Other buffalo for breeding, ex. pure-bred or pregnant","Otros búfalos p/ procreacíon,ex.embarazado o pura raza","Autres buffles reproducteurs (sauf race pure), enceinte ou avec oisillon"
01023919,"Outros búfalos para reprodução, exceto reprodutores de raça pura","Other buffalo for breeding, except pure-bred breeding","Otros búfalos para procreación, excepto de pura raza","Autres buffle pour l'élevage, sauf reprod. de race pure"
01023990,Outros búfalos,Other buffalos,Otros búfalos,Autres buffles
01029000,Outros animais vivos da espécie bovina,Other live animals of bovine species,Otros animales vivos de la especie bovina,Autres animaux vivants de l'espèce bovine
01029011,"Outros bovinos para reprodução, prenhe ou com cria ao pé",Other pure-bred breeding bovines pregnant/lactanting,"Los dem.bovinos p/reproducción, preñad.o c/cría al pie","Autres bovins destinés à la reproduction, les femmes enceintes ou avec oisillon"
01029019,Outros bovinos para reprodução,Other pure-bred breeding bovines,Otros bovinos para reproducción,Autres bovins d'élevage
01029090,Outros bovinos vivos,Other live bovines,Otros bovinos vivos,Autres bovins vivants
01031000,Suínos reprodutores de raça pura,Pure-bred breedig swines,Porcinos reproductores de raza pura,Porcs reproducteurs de race pure
01039100,"Outros suínos vivos, de peso inferior a 50 kg","Other live swine, weighing less than 50 kg","Los demás porcinos vivos, con peso inferior a 50 kg",Autres porcs vivants pesant moins de 50 kg
01039200,"Outros suínos vivos, de peso igual ou superior a 50kg","Other live swine, weighing 50 kg or more","Los dem.porcinos vivos, c/peso igual o superior a 50 kg","Autres porcs vivants, de poids égal ou supérieur à 50 kg"
01041011,"Ovinos reprodutores de raça pura, prenhe/com cria ao pé","Pure-bred breeding, pregnant or lactating, sheep","Ovinos reproductores de raza pura, preñad.c/cría al pie","Mouton reprodutor race pure, enceinte ou avec oisillon"
01041019,Outros ovinos reprodutores de raça pura,Other pure-bred breeding sheep,Los demás ovinos reproductores de raza pura,Autres moutons reproducteurs de race pure
01041090,Outros ovinos vivos,Others live sheep,Otros ovinos vivos,Autres moutons vivants
01042010,Caprinos reprodutores de raça pura,Pure-bred breeding goats,Caprinos reproductores de raza pura,Les chèvres reproducteurs de race pure
01042090,Outros caprinos vivos,Other live goats,Los demás caprinos vivos,Autres caprins vivants
01051110,"Galos e galinhas, peso <= 185 g, de linha pura/híbrida, para reprodução",Fowls spec.gallus domestic.w<=185g pure-bred breeding,"Gallos y gallinas, p<= 185 g, de línea pura/híbr.p/reprod","Poules, d'un poids <= 185 g, de lignée pure/hybride, à jouer"
01051190,"Outros galos e galinhas, vivos, peso não superior a 185g",Oth.live fowls spec.gall.domest.weig.not more than 185g,"Los dem.gallos y gallinas vivos, p.infer.o igual a 185 g","Autres coqs et poules, vivants, ne pesant pas plus de 185 g"
01051200,"Peruas e perus, vivos, de peso não superior a 185g","Live turkeys, weighing not more than 185g",Pavos(gallipavos) vivos de peso inferior o igual a185 g,"Dindes et dindons, vivants, ne pesant pas plus de 185 g"
01051300,Patos,Ducks,Patos,Canards
01051400,Gansos,Geese,Gansos,Oies
01051500,Galinhas-d'angola (pintadas),Dangola chickens - painted,Pollos dangola - pintados,Poulets d'angola - peints
01051900,"Patos, gansos e galinhas d'angola, vivos, de peso <= 185g","Live ducks/geese/guine fowls, weighing<=185g","Patos, gansos y pintadas vivos de peso<=185g","Canards, oies et poules d'Angola, vivants, d'un poids <= 185 g"
01059200,"Outros galos e galinhas, vivos, de peso <= 2.000 g","Other live fowls species gallus domesticus, w<=2.000g",Los demás gallos y gallinas vivos de peso <= 2000 g,"Autre coq et le poulet, de vivre, d'un poids <= 2000 g"
01059300,"Galos e galinhas, vivos, de peso superior a 2.000 g",Live fowls species gallus domesticus weighing 2.000g,Gallos y gallinas vivos de peso superior a 2000 g,"Coqs et poules, vivent, pesant plus de 2 Kg"
01059400,"Outros galos e galinhas, vivos, de peso <= 2.000 g","Other live fowls species gallus domesticus, w<=2.000g",Los demás gallos y gallinas vivos de peso <= 2000 g,"Autres coqs et poules, vivent, moins de 2 Kg"
01059900,"Patos, gansos, perus, peruas e pintadas, vivos, de peso >185 g","Live ducks/geese/turkeys/guinea fowls, weighing>185g","Patos, gansos, pavos y pintadas vivos de peso>185g","Canards, oies, dindons, dindes, et poulets paintées vivants, d'un poids > 185 g"
01060000,Outros animais vivos,Other live animals,Otros animales vivos,D'autres animaux vivants
01060010,Avestruzes (Struthio camelus) para reprodução,Ostriches (struthio camelus) for breeding,Avestruz (struthio camelus) para reproducción,Autruches (Struthio camelus) pour la lecture
01060090,Outros animais vivos,Other live animals,Otros animales vivos,D'autres animaux vivants
01061100,"Mamíferos primatas, vivos","Primate mammals, alive",Mamíferos primitivos vivos,Mammifères primates vivant
01061200,"Baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)","Whales, dolphins and other live mammals","Ballenas, delfines y demás mamíferos vivos","Baleines, dauphins et marsouins (mammifères de l'ordre des cétacés); Les lamantins (lamantins) et dugongs (mammifères de l'ordre des siréniens); otaries et phoques, lions de mer et morses (mammifères du sous-ordre des pinnipèdes), vivant"
01061300,"Camelos e outros camelídeos (Camelidae), vivos",Camels and camelids (camelidae),Camellos y camélidos (camelidae),Chameaux et autres camélidés (Camelidae)
01061400,"Coelhos e lebres, vivos",Rabbits and hares,Conejos y liebres,Lapins et lièvres
01061900,Outros mamíferos vivos,Other live mammals,Los demás mamíferos vivos,D'autres mammifères vivants
01062000,Répteis (incluindo as serpentes e as tartarugas marinhas),Live reptiles (incl.snakes and turtles),Reptiles vivos(incl.las serpientes y tortugas de mar),Reptiles vivants (y compris les serpents et les tortues)
01063100,Aves de rapina,Live birds of prey,Aves de rapiña vivas,"Les oiseaux de proie, vivent"
01063200,"Psitaciformes (incluindo os papagaios, os periquitos, as araras e as cacatuas)","Live psittaciformes (incl.parrots, macaws, etc)","Psitaciformes vivos(incl.los loros, cacatuas, etc)","Perroquets vivants (y compris les aras, etc.)"
01063310,"Avestruzes (Struthio camelus), para reprodução",Ostriches (struthio camelus) for breeding,Avestruces (struthio camelus) para la procreación,"Autruches (Struthio camelus), d'élevage"
01063390,Outros avestruzes,Other ostrich,Otros avestruces,Autres autruches
01063900,Outras aves vivas,Other living birds,Otras aves vivas,Autres oiseaux vivants
01063910,Avestruzes para reprodução,Ostriches (struthio camelus) for breeding,Avestruz para reproducción,Les autruches d'élevage
01063990,Outras aves vivas,Other live birds,Otras aves vivas,Autres oiseaux vivants
01064100,Abelhas,Bees,Abejas,Abeilles
01064900,Outros insetos,Other insects,Otros insectos,D'autres insectes
01069000,Outros animais vivos,Other live animals,Otros animales vivos,D'autres animaux vivants
02011000,"Carcaças e meias carcaças de bovino, frescas ou refrigeradas",Carcases/half-carcases of bovine fresh/chilled,"Canales y medias canales de esp.bovina, fresca/refr","Carcasses/demi-carcasses de bovins,fraîches/réfrigérées"
02012010,"Quartos dianteiros não desossadados de bovino, frescos/refrigerados",Fresh/chilled forequarters of bovine with bone in,Cuartos delanteros c/huesos de la esp.bov.fresc.refrig.,"Quartiers avant pas désossés, de bovins, frais ou refrigerées"
02012020,"Quartos traseiros não desossados de bovino, frescos/refrigados",Fresh/chilled hindquaters of bovine with bone in,Cuartos traseros s/deshues.de la esp.bov.fresc.refrig.,"Quartiers arrière pas désossés, de bovins, frais ou refrigerées"
02012090,"Outras peças não desossadas de bovino, frescas ou refrigeradas",Other fresh/chilled cuts of bovine with bone in,"Los dem.cortes s/deshues.de la esp.bovina, fresc.o refr","Autres morceaux de boeuf sans l'os, fraîches ou réfrigérées"
02013000,"Carnes desossadas de bovino, frescas ou refrigeradas","Fresh or chilled bovine meat, boneless","Carnes deshuesadas de la esp.bovina, frescas o refriger.","Viande désossée des bovines, fraîches ou réfrigérées"
02021000,"Carcaças e meias-carcaças de bovino, congeladas",Frozen bovine carcases and half-carcases,"Canales o medias canales de la esp.bovina, congeladas","Les carcasses et demi-carcasses de bovins, congelés"
02022010,"Quartos dianteiros não desossados de bovino, congelados","Frozen  forequarters of bovines,  with bone in,  frozen",Cuartos delanteros s/deshues.de la esp.bov.congelados,"Quartiers avant de bovins, congelés"
02022020,"Quartos traseiros não desossados de bovino, congelados","Frozen hindquarter of bovines, with bone in, frozen","Cuartos traseros s/deshues.de la esp.bovina, congelados","Quartiers arrière de bovins, congelés"
02022090,"Outras peças não desossadas de bovino, congeladas",Other frozen bovine cuts,"Las dem.piezas s/deshues.de la esp.bovina, congeladas","Autres morceaux non désossés des bovines, congelés"
02023000,"Carnes desossadas de bovino, congeladas","Frozen bovine meat, boneless","Carnes deshuesadas de la especie bovina, congeladas","Viande désossée des bovines, congelées"
02031100,"Carcaças e meias-carcaças de suíno, frescas ou refrigeradas",Fresh or chilled carcases and half-carcases of swine,"Canales o medias can.de la esp.porcina, fresca/refr","Les carcasses et demi-carcasses, de porcins, fraîches ou réfrigérées"
02031200,"Carcaças e meias-carcaças de suíno, frescas ou refrigeradas",Fresh/chilled hams/shoulders/cuts of swine with bone in,"Piernas, paletas, etc s/deshues.de la esp.porc.fresc/ref","Les carcasses et demi-carcasses, de porcins, fraîches ou réfrigérées"
02031900,"Outras carnes de suíno, frescas ou refrigeradas",Other fresh or chilled meat of swine,"Las dem.carnes de la esp.porcina, frescas o refrigeradas","Autres viandes de porc, frais ou réfrigérés"
02032100,"Carcaças e meias-carcaças de suíno, congeladas",Frozen carcases and half-carcases of swine,"Canales o medias canales de la esp.porcina, congeladas","Les carcasses et demi-carcasses de porcins, congelés"
02032200,"Pernas, pás e pedaços não desossados de suíno, congelados","Frozen hams, shoulders and cuts of swine, fr.","Piernas, paletas y pedazos s/deshues.de la esp.porc, cong","Des jambons, épaules et leurs morceaux (avec os) de porcins, congelés"
02032900,"Outras carnes de suíno, congeladas","Other swine meat, frozen","Las demás carnes de la esp.porcina, congeladas","Autres viandes de porc, congelés"
02041000,"Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas","Lamb carcases and half-carcases, fresh or chilled","Canales o medias canales de cordero, fresc.refrig","Les carcasses et demi-carcasses d'agneau, fraîches ou réfrigérées"
02042100,"Carcaças e meias-carcaças de ovino, frescas ou refrigeradas","Sheep carcases and half-carcases, fresh or chilled","Canales o medias canales de ovino, fresc.refrig","Les carcasses et demi-carcasses de mouton, fraîches ou réfrigérées"
02042200,"Outras peças não desossadas de ovino, frescas ou refrigeradas","Other sheep cuts, with bone in, fresh or chilled","Los dem.cortes c/huesos de la esp.ovina, fresc.refrig.","Autres morceaux non désossés de moutons, frais ou réfrigérés"
02042300,"Carnes desossadas de ovino, frescas ou refrigeradas","Other meat of sheep, boneless, fresh or chilled","Carnes deshues.de la esp.ovina, frescas o refrigeradas","Viande de mouton désossée, fraîche ou réfrigérée"
02043000,"Carcaças e meias-carcaças de cordeiro, congeladas","Carcases and half-carcases of lamb, frozen","Canales o medias canales de cordero, congeladas","Les carcasses et demi-carcasses d'agneau, congelées"
02044100,"Carcaças e meias-carcaças de ovino, congeladas","Carcases and half-carcases of sheep, frozen","Canales o medias canales de la esp.ovina, congeladas","Les carcasses et demi-carcasses de mouton, congelées"
02044200,"Outras peças não desossadas de ovino, congeladas","Other lamb cuts with bone in, frozen","Los demás cortes s/deshuesar de la esp.ovina, congeladas","Autres morceaux non désossés, congelés, de moutons"
02044300,"Carnes desossadas de ovino, congeladas","Meat of sheep, boneless, frozen","Carnes deshuesadas de la esp.ovina, congeladas","La viande désossée de moutons, congelés"
02045000,"Carnes de caprino, frescas, refrigeradas ou congeladas","Meat of goats, fresh, chilled or frozen","Carnes de la esp.capr.frescas,  refrigeradas o congeladas","La viande de chèvre, frais, réfrigérés ou congelés"
02050000,"Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas.","Meat of horses, asses, mules, etc.fresh, chilled or frozen","Carnes de la esp.caball.asnal y mular, fresc.ref.o cong.","Viande de cheval, frais, réfrigérés ou congelés"
02061000,"Miudezas comestíveis de bovino, frescas ou refrigeradas","Edible offal of bovine, fresh or chilled","Despojos comestibles de la esp.bovina, frescos o refrig.","Abats comestibles de boeuf, fraîches ou réfrigérées"
02062100,"Línguas de bovino, congeladas",Frozen edible bovine tongues,"Lenguas de la esp.bovina, congeladas","La langue des bovins, congelés"
02062200,"Fígados de bovino, congelados",Frozen edible bovine livers,"Hígado de la esp.bovina, congelados","Foies espèce bovine, congelées"
02062910,"Rabos de bovino, congelados",Frozen edible bovine tails,"Rabos de la esp.bovina, congelados","Des queues de bovins, congelés"
02062990,"Outras miudezas comestíveis de bovino, congeladas",Other frozen edible bovine offal,"Los dem.despojos comestibles de la esp.bovina, congel.","Autres abats comestibles de l'espèce bovine, congelées"
02063000,"Miudezas comestíveis de suíno, frescas ou refrigeradas",Fresh or chilled edible offal of swine,Despojos comestibles de la esp.porc.frescos o refrig.,"Abats comestibles de l'espèce porcine, frais ou réfrigérés"
02064100,"Fígados de suíno, congelados",Frozen edible livers of swine,"Hígados de la esp.porcina, congelados","Foies de porc, congelés"
02064900,"Outras miudezas comestíveis de suíno, congeladas","Other edible offal of swine, frozen","Los dem.despojos comestibles de la esp.porcina, congel.","Autres abats comestibles de l'espèce porcine, congelés"
02068000,"Miudezas comestíveis, de ovino, etc, frescas/refrigeradas",Fresh or chilled edible offal of goats,"Despojos comestibles, de ovino, etc, fresc/refrig.","Abats comestibles de moutons, etc, frais/réfrigéré"
02069000,"Miudezas comestíveis, de ovino, caprino, etc, congeladas","Edible offal of sheep, goats, etc.frozen","Despojos comestibles, de la esp.ovina, caprina, etc, cong.","Abats comestibles de moutons, chèvres, etc., congelés"
02071100,"Carnes de galos/galinhas, não cortadas em pedaços, frescas/refrigeradas",Fresh/chilled fowls spec.gallus domestic.n/cut in piece,"Carnes de gallo/gallina, s/trocear, frescas/refrig.","Viande de coqs/poulets, non découpés en morceaux, frais/réfrigéré"
02071200,"Carnes de galos/galinhas, não cortadas em pedaços, congelala",Frozen fowls spec.gallus domest.n/cut in piece,"Carnes de gallo/gallina, s/trocear, congeladas","Viande de coqs/poulets, non découpés en morceaux, congelées"
02071300,"Pedaços e miudezas, de galos/galinhas, frescos/refrigerados","Fowls spec.gal.domest.cuts and offal, fresh/chilled","Trozos y despojos comest.de gallo/gallina, fresc.refrig","Morceaux et abats de coqs/poules, frais/réfrigérés"
02071400,"Pedaços e miudezas, comestíveis de galos/galinhas, congelados","Fowls spec.gal.domest.cuts and offal, frozen","Trozos y despojos comest.de gallo/gallina, congelados","Morceaux et abats comestibles de coqs/poules, congelés"
02072400,"Carnes de peruas/perus, não cortadas em pedaços, frescas/refrigeradas","Fresh/chilled meat of turkeys, n/cut in piece","Carnes de pavo, s/trocear, fresco/refrigerado","Viande de dindes/dindons, non découpées en morceaux, frais/réfrigérés"
02072500,"Carnes de peruas/perus, não cortadas em pedaços, congeladas","Frozen meat of turkeys, not cut in piece","Carnes de pavo, s/trocear, congelados","Viande de dindes/dindons, non découpées en morceaux, congelé"
02072600,"Carnes de peruas/perus, em pedaços, miudezas, frescas/refrigeradas","Fresh/chilled meat of turkeys, cuts and offal","Carnes de pavos, trozos frescos/refrigerados","Viande de dindes/dindons, dans morceaux et abats, frais/réfrigéré"
02072700,"Carnes de peruas/perus, em pedaços e miudezas, congeladas","Frozen meat of turkeys, cuts and offal","Carnes de pavos en trozos y despojos, congelados","Viande de dindes/dindons, dans morceaux et abats, congelés"
02073200,"Carnes de patos, etc, não cortadas em pedaços, frescas/refrigeradas","Fresh/chilled meat of ducks, etc.not cut in piece","Carnes de pato, etc, s/trocear, fresco/refrigerado","Viande du canard, non découpées en morceaux, fraîches, réfrigérées"
02073300,"Carnes de patos, gansos, etc, não cortadas em pedaços, congeladas","Frozen meat of ducks, geese, etc.n/cut in piece","Carnes de pato, etc, s/trocear, fresco/refrigerado","Viande du canard et oies, non découpées en morceaux, congelés"
02073400,"Fígados gordos, de patos/gansos/pintadas, frescos/refrigeradas",Fresh/chill.edible fatty livers of ducks/geese/guinea,"Hígados grasos, de patos/gansos/pintadas, fresc/refrig.","Foies gras de canards, oies, poulets peints, frais/réfrigéré"
02073500,"Outras carnes/miudezas, de patos, gansos, etc.frescas, refrigeradas","Fresh/chill.oth.edible fatty livers of ducks, geese, etc","Las dem.carnes/despoj.com.de pato, ganso, etc, fresc.refr.","Autres viandes et abats, de canards, oies, etc., fraîches, réfrigérées"
02073600,"Outras carnes, miudezas, de patos, gansos, etc, congeladas","Frozen other edible meat offal of duck, geese, etc","Las dem.carnes, desp.comest.de pato, ganso, etc, congelado","Autres viandes et abats, de canards, d'oies, etc., congelés"
02074100,"Carnes de patos, nãoo cortada em pedaços, frescas ou refrigeradas","Meat of ducks, not cut in pieces, fresh or chilled","Carne de pato, sin trocear, frescas o refrigeradas","Viande du canard, non découpées en morceaux, frais ou réfrigérés"
02074200,"Carnes de patos, não cortadas em pedaços, congeladas","Meat of ducks, not cut in pieces, frozen","Carne de pato, no cortado en trozos, congeladas","Viande du canard, non découpées en morceaux, congelés"
02074300,"Fígados gordos (foies gras) de patos, frescos ou refrigerados","Fatty livers of ducks, fresh or chilled","Los hígados grasos de patos, frescos o refrigerados","Foies gras de canards, fraîches ou réfrigérées"
02074400,"Outras carnes de patos, frescas ou refrigeradas","Other meats of ducks, fresh or chilled","Las demás carnes de pato, frescas o refrigeradas","Autres viandes de canards, fraîches ou réfrigérées"
02074500,"Outras carnes de patos, congeladas","Other meats of ducks, frozen","Las demás carnes de pato, congeladas","Autres viandes de canards, congelés"
02075100,"Carnes de gansos, não cortada em pedaços, frescas ou refrigeradas","Meat of geese, not cut in pieces, fresh or chilled","Carne de ganso, sin trocear, frescas o refrigeradas","Viandes des oies, non découpées en morceaux, frais ou réfrigérés"
02075200,"Carnes de gansos, não cortadas em pedaços, congeladas","Meat of geese, not cut in pieces, frozen","Las demás carnes de los gansos, congeladas","Viandes des oies, non découpées en morceaux, congelés"
02075300,"Fígados gordos (foies gras) de gansos, frescos ou refrigerados","Fatty livers of geese, fresh or chilled","Los hígados grasos de gansos, frescos o refrigerados","Foies gras, oies, frais ou réfrigérés"
02075400,"Outras carnes de gansos, frescas ou refrigeradas","Other meat of geese, fresh or chilled","Las demás carnes de los gansos, frescas o refrigeradas","Autres viandes des oies, frais ou réfrigérés"
02075500,"Outras carnes de gansos, congeladas","Other meat of geese, frozen","Las demás carnes de los gansos, congelados","Autres viandes des oies, congelés"
02076000,Carnes de galinhas dangola (pintadas),Meat of dangola chicken (painted),Carne de pollo dangola (pintado),La viande de poule dangola (peint)
02081000,"Carnes/miudezas, de coelhos/lebres, frescas/refrigeradas/congeladas",Fres/chil/froz oth.meat/edib.meat offal of rabib./hares,"Carnes/desp.comest.de conejo/liebre, fresc.refrig.cong.","Viandes et abats de lapins et lièvres, frais, réfrigérés, congelés"
02082000,"Coxas de rã, frescas, refrigeradas ou congeladas",Fresh/chilled/frozen frogs' legs,"Ancas de rana, frescas, refrigeradas o congeladas","Cuisses de grenouilles, fraîches, réfrigérées ou congelées"
02083000,"Carnes de primatas, congeladas, frescas, refrigeradas","Meat of primates, fresh/chilled/frozen","Carnes de primates, congeladas, frescas, refrigeradas","Viande de primates, congelés, frais, réfrigérés"
02084000,"Carnes de baleias, etc, congeladas, frescas, refrigeradas","Meat of whales, etc, fresh/chilled/frozen","Carnes de ballenas, etc, congelado, fresco, refrigerado","Viandes de baleines, etc., congelés, frais, réfrigérés"
02085000,"Carnes de répteis, congeladas, frescas, refrigeradas","Meat of reptiles, fresh/chilled/frozen","Carnes de reptiles, congeladas, frescas, refrigeradas","Viande de reptiles, congelés, frais, réfrigérés"
02086000,"Outras carnes/miudezas comestíveis, de camelos e outros camelídeos","Other meat and edible offal, of camels and camilídeos","Demás carnes y despojos comestibles, de los camellos","Autres viandes et abats comestibles, de chameaux et d'autres camélidés"
02089000,"Carnes e miudezas, de outros animais, frescas/refrigeradas/congeladas","Fresh/chilled/frozen meat/edib.meat offal,  of other animals","Carnes y despojos com.de dem.animales, fresc.refr.cong.","Viandes et abats comestibles, d'autres animaux, frais/réfrigérés/congelés"
02090011,"Toucinho sem partes magras, fresco/refrigerado/congelado","Fresh/chilled/frozen pig fat, free of lean meat","Tocino sin partes magras, fresco/refrigerado/congelado","Lard, libre de viande maigre, frais/réfrigérés/congelés"
02090019,"Toucinho sem partes magras, salgado/salmoura/seco/defumado","Salted/in brine/dried/smoked pig fat,  free of lean meat","Tocino s/partes magras, salado/en salmuera/seco/ahumado","Fat, libre de viande maigre, le sel/saumure/ sec/fumé"
02090021,"Gordura de porco, fresca, refrigerada ou congelada","Fresh, chilled or frozen pig fat","Grasa de cerdo, fresca, refrigerada o congelada","Graisse du porc, frais, réfrigérés ou congelés"
02090029,"Gordura de porco, não fundida, salgada, em salmoura, seca, etc","Salted, in brine, dried, smoked, etc. pig fat","Grasa de cerdo,  s/fundir,  salada,  en salmuera,  seca,  etc","La graisse de porc, non-fondue, le sel, de la saumure, séché, etc."
02090090,"Gordura de aves, não fundida, fresca, refrigerada, congelada, etc","Bird fat,  not rendered,  fresh,  chilled,  frozen, etc.","Grasa de ave,  s/fundir,  fresca,  refrigerada,  congelada, etc","Graisse d'oiseaux, non condensé, frais, réfrigérés, congelés, etc."
02091011,"Toucinho de porco, fresco, refrigerado ou congelado","Bacon pork, fresh, chilled or frozen","Tocino de cerdo, fresco, refrigerado o congelado","Lard, frais, réfrigérés ou congelés"
02091019,Outros toucinhos de porco,Other pork fat,Otros tocinos de cerdos,Autres lard de porc
02091021,"Gordura de porco, fresca, refrigerada ou congelada","Fat of pork, fresh, chilled or frozen","Grasa de cerdo, fresca, refrigerada o congelada","Lard de porc, frais, réfrigérés ou congelés"
02091029,Outras gorduras de porco,Other pork fat,Otras grasas de cerdo,Autres graisses de porc
02099000,Outros toucinhos e gorduras,Bacon and other fats,Otros tocinos y grasas,Autres graisses et lard
02101100,"Pernas/pás/pedaços, de suíno, não desossados, salgados, etc.","Hams, should.and cuts of swine, with bone in, salted, etc.",Piernas/paletas/trozos de la esp.porc.s/desh.salad.etc,"Jambes/pièces, porcine, non désossés, salés, etc."
02101200,"Barrigas e peitos, entremeados, de suíno, salgados, etc.","Bellies and chest ""streaky"" of swine, salted, etc.","Tocino entreverado de panza, salado,  etc","Ventre et la poitrine, intercalés, le porc, salée, etc."
02101900,"Outras carnes de suíno, salgadas ou em salmoura, secas, etc.","Other meat of swine, salted, brine, dried, etc.","Las dem.carnes de la esp.porc.salad.o en salm.secas, etc","Autres viandes de porcine, salées, en saumure, séchés, etc."
02102000,"Carnes de bovinos, salgadas/em salmoura/secas/defumadas","Meat of bovine, salted/in brine/dried/smoked","Carnes de la esp.bovina, saladas/en salm./secas/ahumad.","Viande bovine, le sel / saumure / séché / fumé"
02109000,"Carnes e miudezas, de outros animais, salgados, etc.","Meat and edible meat offal of oth.animals, salted, etc.","Carnes y despojos de demás animales, salados,  etc","Viandes et abats d'autres animaux, salés, etc"
02109100,"Carnes de primatas, salgadas, secas, etc.","Meat of primates, salted, dried, in brine, etc.","Carnes de primitivos, saladas, secas, etc","Viande de primates, salés, séchés, etc"
02109200,"Carnes de baleias, etc, salgadas, secas, etc.","Meat of whales, etc, salted, dried, etc.","Carnes de ballenas, etc, saladas, secas, etc","La viande de baleine, salés, séchés, etc"
02109300,"Carnes de répteis, salgadas, secas, etc.","Meat of reptiles, salted, dried, etc.","Carnes de reptiles, saladas, secas, etc","Viande de reptiles, salés, séchés, etc"
02109900,"Carnes de outros animais, salgadas, secas, etc.","Meat of other animals, salted, dried, etc.","Carnes de demás animales, saladas, secas, etc","La viande d'autres animaux, salés, séchés, etc"
03011000,"Peixes ornamentais, vivos",Ornamental live fish,"Peces ornamentales, vivos","Les poissons d'ornement, vivants"
03011010,"Aruana (Osteoglossum bicirrhosum), peixes ornamentais vivos",Live aruwana (osteoglossum bicirrhosum)ornam.live fish,"Arahuana(osteoglossum bicirrhosum), peces ornament.vivos","Aruana (Osteoglossum bicirrhosum), poissons d'ornement vivants"
03011090,Outros peixes ornamentais vivos,Other ornamental live fish,Los dem.peces ornamentales vivos,Autres poissons d'ornement vivants
03011110,Aruana (Osteoglossum bicirrhosum),Aruana (osteoglossum bicirrhosum),Aruana (osteoglossum bicirrhosum),Aruana (Osteoglossum bicirrhosum)
